Date,Open,High,Low,Close,Adj Close,Volume
2006-02-28,129.2,129.91,128.13,128.23,96.03,74394800
2006-03-01,128.6,129.49,128.5,129.37,96.89,48641600
2006-03-02,128.9,129.42,128.61,129.36,96.88,60642300
2006-03-03,128.67,130.07,128.65,128.76,96.43,73402500
2006-03-06,129.14,129.18,127.85,128.17,95.99,57478400
2006-03-07,127.86,128.06,127.4,127.97,95.84,61780800
2006-03-08,127.7,128.44,127.18,128.24,96.04,66692400
2006-03-09,128.28,128.68,127.38,127.38,95.4,56313600
2006-03-10,127.71,128.84,127.44,128.59,96.3,60490800
2006-03-13,128.84,129.16,128.53,128.83,96.48,45479100
2006-03-14,128.71,130.23,128.61,130.18,97.49,69877300
2006-03-15,130.15,130.86,129.85,130.76,97.93,53398900
2006-03-16,131.01,131.47,130.84,131.03,98.13,65526400
2006-03-17,130.68,130.9,130.38,130.62,98.21,47286800
2006-03-20,130.64,130.9,130.21,130.41,98.05,45538500
2006-03-21,130.37,130.99,129.45,129.59,97.44,87102700
2006-03-22,129.51,130.51,129.45,130.38,98.03,51605700
2006-03-23,130.26,130.39,129.66,130.11,97.83,46704200
2006-03-24,129.99,130.57,129.74,130.21,97.9,43209200
2006-03-27,130.03,130.28,129.74,130.02,97.76,32523000
2006-03-28,129.93,130.53,129.05,129.22,97.16,82079900
2006-03-29,129.41,130.5,129.29,130.03,97.77,61505700
2006-03-30,130.11,130.98,129.55,129.8,97.6,70571700
2006-03-31,130.02,130.24,129.37,129.83,97.62,62925600
2006-04-03,130.07,130.87,129.49,129.73,97.54,61624700
2006-04-04,129.73,130.73,129.36,130.56,98.17,54809300
2006-04-05,130.61,131.28,130.38,131.01,98.51,50607200
2006-04-06,130.85,131.21,130.19,130.87,98.4,57906200
2006-04-07,131.06,131.4,129.35,129.54,97.4,80180900
2006-04-10,129.74,130.08,129.26,129.74,97.55,41496500
2006-04-11,129.85,130.06,128.25,128.64,96.72,72799400
2006-04-12,128.77,129.13,128.61,128.88,96.9,43033700
2006-04-13,128.59,129.25,128.31,128.71,96.78,51051800
2006-04-17,128.83,129.31,128.02,128.66,96.74,64167700
2006-04-18,128.93,130.94,128.93,130.7,98.27,92531800
2006-04-19,130.75,131.07,130.24,130.95,98.46,87269000
2006-04-20,131.0,131.86,130.6,131.13,98.6,86005500
2006-04-21,131.69,131.79,130.62,131.15,98.61,72342600
2006-04-24,130.89,131.07,130.38,130.91,98.43,52546400
2006-04-25,131.04,131.12,129.92,130.37,98.02,84359800
2006-04-26,130.5,131.14,130.3,130.4,98.05,67262400
2006-04-27,129.9,131.63,129.59,131.03,98.52,124478600
2006-04-28,130.79,131.75,130.71,131.47,98.85,55854400
2006-05-01,131.47,131.8,130.32,130.4,98.05,64990300
2006-05-02,131.01,131.46,130.74,131.38,98.78,49063500
2006-05-03,131.15,131.32,130.45,130.89,98.42,60821300
2006-05-04,131.08,131.62,130.97,131.36,98.77,42921400
2006-05-05,132.05,132.8,131.85,132.52,99.64,62588200
2006-05-08,132.51,132.77,132.36,132.36,99.52,30016700
2006-05-09,132.42,132.77,132.31,132.62,99.72,29864000
2006-05-10,132.41,132.75,131.89,132.55,99.66,64378200
2006-05-11,132.51,132.55,130.52,130.95,98.46,80626900
2006-05-12,130.36,130.72,129.19,129.24,97.18,91726500
2006-05-15,128.79,129.74,128.61,129.5,97.37,84029300
2006-05-16,129.76,130.0,129.01,129.31,97.23,62137600
2006-05-17,128.67,129.1,126.77,126.85,95.38,144789500
2006-05-18,127.35,127.75,126.11,126.21,94.9,87906300
2006-05-19,126.87,127.49,125.8,127.1,95.57,124309400
2006-05-22,126.28,127.17,125.5,126.13,94.84,110852800
2006-05-23,127.18,127.63,125.17,125.17,94.12,92006500
2006-05-24,125.68,126.89,124.76,126.17,94.87,168405000
2006-05-25,126.92,127.73,126.43,127.73,96.04,78977900
2006-05-26,128.01,128.38,127.51,128.38,96.53,62989700
2006-05-30,127.97,128.0,126.05,126.1,94.81,72419900
2006-05-31,126.62,127.51,126.2,127.51,95.87,86926200
2006-06-01,127.38,128.94,127.27,128.73,96.79,73721700
2006-06-02,129.25,129.43,128.32,129.0,96.99,91702600
2006-06-05,128.85,128.86,126.77,127.12,95.58,86105100
2006-06-06,127.21,127.38,125.76,126.81,95.35,130498600
2006-06-07,126.91,127.65,125.79,125.86,94.63,108599400
2006-06-08,125.58,126.5,123.87,125.75,94.55,204957200
2006-06-09,126.36,126.96,125.29,125.35,94.25,94972200
2006-06-12,125.88,125.93,123.82,123.99,93.23,95815900
2006-06-13,123.74,124.84,122.55,122.55,92.15,185688800
2006-06-14,122.84,123.63,122.34,123.5,92.86,163566400
2006-06-15,123.95,126.36,123.86,126.12,94.83,134057000
2006-06-16,125.29,125.56,124.46,124.65,94.14,94253500
2006-06-19,125.4,125.48,123.55,123.67,93.4,95804400
2006-06-20,124.01,124.81,123.72,124.09,93.72,65494700
2006-06-21,124.0,125.7,123.96,125.01,94.41,75008200
2006-06-22,124.95,125.06,124.04,124.46,93.99,74566100
2006-06-23,124.33,125.3,124.03,124.44,93.98,54107000
2006-06-26,124.54,125.06,124.25,124.99,94.4,37899600
2006-06-27,125.01,125.29,123.77,123.91,93.58,69780200
2006-06-28,124.19,124.77,123.65,124.75,94.21,62368100
2006-06-29,125.2,127.35,125.17,127.27,96.12,110634800
2006-06-30,127.54,127.66,126.96,127.28,96.12,54227800
2006-07-03,127.43,128.01,127.31,127.8,96.52,23914000
2006-07-05,127.29,127.45,126.52,127.07,95.97,69653400
2006-07-06,127.2,127.85,127.08,127.44,96.25,50100300
2006-07-07,127.19,127.56,126.29,126.61,95.62,81626500
2006-07-10,126.94,127.43,126.41,126.85,95.8,60964100
2006-07-11,126.61,127.41,125.94,127.41,96.22,73640800
2006-07-12,127.15,127.4,125.72,126.05,95.2,82561300
2006-07-13,125.45,125.68,124.0,124.0,93.65,102405700
2006-07-14,124.13,124.26,122.83,123.52,93.28,103242500
2006-07-17,123.52,124.1,123.15,123.34,93.15,81159000
2006-07-18,123.71,124.05,122.39,123.97,93.62,122771000
2006-07-19,124.18,126.26,123.72,125.69,94.92,133565300
2006-07-20,126.12,126.3,124.66,124.83,94.27,112259800
2006-07-21,125.15,125.19,123.82,123.95,93.61,101560000
2006-07-24,124.44,126.32,124.44,126.21,95.32,92884000
2006-07-25,125.98,127.3,125.72,126.66,95.66,95480700
2006-07-26,126.59,127.45,126.18,126.83,95.78,84525800
2006-07-27,127.38,127.69,126.2,126.71,95.69,87257100
2006-07-28,127.04,128.14,126.86,127.98,96.65,82137000
2006-07-31,127.66,127.96,127.45,127.85,96.56,49593100
2006-08-01,127.34,127.38,126.6,127.22,96.08,65225600
2006-08-02,127.58,128.46,127.55,128.08,96.73,64770900
2006-08-03,127.34,128.55,127.15,128.42,96.99,63693800
2006-08-04,129.08,129.43,127.48,128.2,96.82,96294200
2006-08-07,127.9,128.08,127.4,127.9,96.59,45377300
2006-08-08,128.09,128.46,126.95,127.41,96.22,90901300
2006-08-09,128.18,128.6,126.61,126.98,95.9,78910600
2006-08-10,126.58,127.5,126.28,127.37,96.19,69322300
2006-08-11,127.17,127.2,126.39,127.01,95.92,47482200
2006-08-14,127.63,128.16,126.92,127.11,96.0,57839000
2006-08-15,128.25,128.87,127.9,128.63,97.14,68143000
2006-08-16,129.32,129.89,129.04,129.7,97.95,71737600
2006-08-17,129.58,130.37,129.49,130.03,98.2,70992800
2006-08-18,130.19,130.69,129.59,130.69,98.7,58288400
2006-08-21,130.18,130.28,129.8,130.13,98.28,42133600
2006-08-22,129.99,130.52,129.68,130.12,98.27,60839900
2006-08-23,130.18,130.44,129.19,129.76,98.0,66592100
2006-08-24,129.99,130.1,129.4,129.65,97.91,57983000
